;ADVANTEST CORP;AJINOMOTO CO;ALL NIPPON AIRWAYS Y50;ASAHI BANK;ASAHI BREWERIES;ASAHI CHEMICAL IND CO;ASAHI GLASS CO;BANK TOKYO-MITSUBISHI;BRIDGESTONE CORP;CANON INC;CASIO COMPUTER CO;CITIZEN WATCH CO;DAI NIPPON PRINTING CO;DAI-ICHI KANGYO BANK Y50;DAIWA SECURITIES GROUP;DENSO CORP;FANUC;FUJI BANK;FUJI PHOTO FILM CO;FUJITSU;HITACHI;HONDA MOTOR CO;INDUSTRIAL BANK OF JAPAN;ITO-YOKADO CO;JAPAN AIRCRAFT MFG CO;JUSCO CO;KANSAI ELECTRIC POWER CO;KAO CORP;KAWASAKI STEEL CORP;KIRIN BREWERY CO;KOMATSU;KYOCERA CORP
2799792000000;378,5;1926,6;1868,1;710,6;1314,2;835,9;867;857,3;664,8;1048,4;1082,2;609,3;1125;1137,5;1151,5;1125,1;3789,2;936,9;1103,7;1186,3;894,8;502,8;1732,4;1939,9;109,2;471,1;1069,3;1497,9;983,5;803,3;321,85;1485,23
2799878400000;378,35;1907,1;1868;710;1313;835,3;866;857;664;1047;1082;609;1124;1137;1151;1125;3788;936,7;1103,5;1186;894;502;1732;1939;109,2;471;1069;1497;983;803,11;321,625;1484,353
2799964800000;378,2;1881,2;1867,9;709,4;1311,8;834,7;865;856,7;663,2;1045,6;1081,8;608,7;1123;1136,5;1150,5;1124,9;3786,8;936,5;1103,3;1185,7;893,2;501,2;1731,6;1938,1;109,2;470,9;1068,7;1496,1;982,5;802,92;321,4;1483,476
2800051200000;378,05;1861,7;1867,8;708,8;1310,6;834,1;864;856,4;662,4;1044,2;1081,6;608,4;1122;1136;1150;1124,8;3785,6;936,3;1103,1;1185,4;892,4;500,4;1731,2;1937,2;109,2;470,8;1068,4;1495,2;982;802,73;321,175;1482,599
2800137600000;377,9;1861,7;1867,7;708,2;1309,4;833,5;863;856,1;661,6;1042,8;1081,4;608,1;1121;1135,5;1149,5;1124,7;3784,4;936,1;1102,9;1185,1;891,6;499,6;1730,8;1936,3;109,2;470,7;1068,1;1494,3;981,5;802,54;320,95;1481,722
2800396800000;377,75;1822,8;1867,6;707,6;1308,2;832,9;862;855,8;660,8;1041,4;1081,2;607,8;1120;1135;1149;1124,6;3783,2;935,9;1102,7;1184,8;890,8;498,8;1730,4;1935,4;109,2;470,6;1067,8;1493,4;981;802,35;320,725;1480,845
2800483200000;377,6;1793,6;1867,5;707;1307;832,3;861;855,5;660;1040;1081;607,5;1119;1134,5;1148,5;1124,5;3782;935,7;1102,5;1184,5;890;498;1730;1934,5;109,2;470,5;1067,5;1492,5;980,5;802,16;320,5;1479,968
2800569600000;377,45;1793,6;1867,4;706,4;1305,8;831,7;860;855,2;659,2;1038,6;1080,8;607,2;1118;1134;1148;1124,4;3780,8;935,5;1102,3;1184,2;889,2;497,2;1729,6;1933,6;109,2;470,4;1067,2;1491,6;980;801,97;320,275;1479,091
2800656000000;377,3;1852,1;1867,3;705,8;1304,6;831,1;859;854,9;658,4;1037,2;1080,6;606,9;1117;1133,5;1147,5;1124,3;3779,6;935,3;1102,1;1183,9;888,4;496,4;1729,2;1932,7;109,2;470,3;1066,9;1490,7;979,5;801,78;320,05;1478,214
2800742400000;377,15;1917,1;1867,2;705,2;1303,4;830,5;858;854,6;657,6;1035,8;1080,4;606,6;1116;1133;1147;1124,2;3778,4;935,1;1101,9;1183,6;887,6;495,6;1728,8;1931,8;109,2;470,2;1066,6;1489,8;979;801,59;319,825;1477,337
2801001600000;377;1806,6;1867,1;704,6;1302,2;829,9;857;854,3;656,8;1034,4;1080,2;606,3;1115;1132,5;1146,5;1124,1;3777,2;934,9;1101,7;1183,3;886,8;494,8;1728,4;1930,9;109,2;470,1;1066,3;1488,9;978,5;801,4;319,6;1476,46
2801088000000;376,85;1813,1;1867;704;1301;829,3;856;854;656;1033;1080;606;1114;1132;1146;1124;3776;934,7;1101,5;1183;886;494;1728;1930;109,2;470;1066;1488;978;801,21;319,375;1475,583
2801174400000;376,7;1884,6;1866,9;703,4;1299,8;828,7;855;853,7;655,2;1031,6;1079,8;605,7;1113;1131,5;1145,5;1123,9;3774,8;934,5;1101,3;1182,7;885,2;493,2;1727,6;1929,1;109,2;469,9;1065,7;1487,1;977,5;801,02;319,15;1474,706
2801260800000;376,55;1852,1;1866,8;702,8;1298,6;828,1;854;853,4;654,4;1030,2;1079,6;605,4;1112;1131;1145;1123,8;3773,6;934,3;1101,1;1182,4;884,4;492,4;1727,2;1928,2;109,2;469,8;1065,4;1486,2;977;800,83;318,925;1473,829
2801347200000;376,4;1897,6;1866,7;702,2;1297,4;827,5;853;853,1;653,6;1028,8;1079,4;605,1;1111;1130,5;1144,5;1123,7;3772,4;934,1;1100,9;1182,1;883,6;491,6;1726,8;1927,3;109,2;469,7;1065,1;1485,3;976,5;800,64;318,7;1472,952
2801606400000;376,25;1897,6;1866,6;701,6;1296,2;826,9;852;852,8;652,8;1027,4;1079,2;604,8;1110;1130;1144;1123,6;3771,2;933,9;1100,7;1181,8;882,8;490,8;1726,4;1926,4;109,2;469,6;1064,8;1484,4;976;800,45;318,475;1472,075
2801692800000;376,1;1832,6;1866,5;701;1295;826,3;851;852,5;652;1026;1079;604,5;1109;1129,5;1143,5;1123,5;3770;933,7;1100,5;1181,5;882;490;1726;1925,5;109,2;469,5;1064,5;1483,5;975,5;800,26;318,25;1471,198
2801779200000;375,95;1806,6;1866,4;700,4;1293,8;825,7;850;852,2;651,2;1024,6;1078,8;604,2;1108;1129;1143;1123,4;3768,8;933,5;1100,3;1181,2;881,2;489,2;1725,6;1924,6;109,2;469,4;1064,2;1482,6;975;800,07;318,025;1470,321
2801865600000;375,8;1806,6;1866,3;699,8;1292,6;825,1;849;851,9;650,4;1023,2;1078,6;603,9;1107;1128,5;1142,5;1123,3;3767,6;933,3;1100,1;1180,9;880,4;488,4;1725,2;1923,7;109,2;469,3;1063,9;1481,7;974,5;799,88;317,8;1469,444
2801952000000;375,65;1800,1;1866,2;699,2;1291,4;824,5;848;851,6;649,6;1021,8;1078,4;603,6;1106;1128;1142;1123,2;3766,4;933,1;1099,9;1180,6;879,6;487,6;1724,8;1922,8;109,2;469,2;1063,6;1480,8;974;799,69;317,575;1468,567
2802211200000;375,5;1800,1;1866,1;698,6;1290,2;823,9;847;851,3;648,8;1020,4;1078,2;603,3;1105;1127,5;1141,5;1123,1;3765,2;932,9;1099,7;1180,3;878,8;486,8;1724,4;1921,9;109,2;469,1;1063,3;1479,9;973,5;799,5;317,35;1467,69
2802297600000;375,35;1793,6;1866;698;1289;823,3;846;851;648;1019;1078;603;1104;1127;1141;1123;3764;932,7;1099,5;1180;878;486;1724;1921;109,2;469;1063;1479;973;799,31;317,125;1466,813
2802384000000;375,2;1787,1;1865,9;697,4;1287,8;822,7;845;850,7;647,2;1017,6;1077,8;602,7;1103;1126,5;1140,5;1122,9;3762,8;932,5;1099,3;1179,7;877,2;485,2;1723,6;1920,1;109,2;468,9;1062,7;1478,1;972,5;799,12;316,9;1465,936
2802470400000;375,05;1696,1;1865,8;696,8;1286,6;822,1;844;850,4;646,4;1016,2;1077,6;602,4;1102;1126;1140;1122,8;3761,6;932,3;1099,1;1179,4;876,4;484,4;1723,2;1919,2;109,2;468,8;1062,4;1477,2;972;798,93;316,675;1465,059
2802556800000;374,9;1728,6;1865,7;696,2;1285,4;821,5;843;850,1;645,6;1014,8;1077,4;602,1;1101;1125,5;1139,5;1122,7;3760,4;932,1;1098,9;1179,1;875,6;483,6;1722,8;1918,3;109,2;468,7;1062,1;1476,3;971,5;798,74;316,45;1464,182
2802816000000;374,75;1676,6;1865,6;695,6;1284,2;820,9;842;849,8;644,8;1013,4;1077,2;601,8;1100;1125;1139;1122,6;3759,2;931,9;1098,7;1178,8;874,8;482,8;1722,4;1917,4;109,2;468,6;1061,8;1475,4;971;798,55;316,225;1463,305
2802902400000;374,6;1670,1;1865,5;695;1283;820,3;841;849,5;644;1012;1077;601,5;1099;1124,5;1138,5;1122,5;3758;931,7;1098,5;1178,5;874;482;1722;1916,5;109,2;468,5;1061,5;1474,5;970,5;798,36;316;1462,428
2802988800000;374,45;1624,6;1865,4;694,4;1281,8;819,7;840;849,2;643,2;1010,6;1076,8;601,2;1098;1124;1138;1122,4;3756,8;931,5;1098,3;1178,2;873,2;481,2;1721,6;1915,6;109,2;468,4;1061,2;1473,6;970;798,17;315,775;1461,551
2803075200000;374,3;1559,6;1865,3;693,8;1280,6;819,1;839;848,9;642,4;1009,2;1076,6;600,9;1097;1123,5;1137,5;1122,3;3755,6;931,3;1098,1;1177,9;872,4;480,4;1721,2;1914,7;109,2;468,3;1060,9;1472,7;969,5;797,98;315,55;1460,674
2803161600000;374,15;1566,1;1865,2;693,2;1279,4;818,5;838;848,6;641,6;1007,8;1076,4;600,6;1096;1123;1137;1122,2;3754,4;931,1;1097,9;1177,6;871,6;479,6;1720,8;1913,8;109,2;468,2;1060,6;1471,8;969;797,79;315,325;1459,797
2803420800000;374;1657,1;1865,1;692,6;1278,2;817,9;837;848,3;640,8;1006,4;1076,2;600,3;1095;1122,5;1136,5;1122,1;3753,2;930,9;1097,7;1177,3;870,8;478,8;1720,4;1912,9;109,2;468,1;1060,3;1470,9;968,5;797,6;315,1;1458,92
2803507200000;373,85;1676,6;1865;692;1277;817,3;836;848;640;1005;1076;600;1094;1122;1136;1122;3752;930,7;1097,5;1177;870;478;1720;1912;109,2;468;1060;1470;968;797,41;314,875;1458,043
2803593600000;373,7;1676,6;1864,9;691,4;1275,8;816,7;835;847,7;639,2;1003,6;1075,8;599,7;1093;1121,5;1135,5;1121,9;3750,8;930,5;1097,3;1176,7;869,2;477,2;1719,6;1911,1;109,2;467,9;1059,7;1469,1;967,5;797,22;314,65;1457,166
2803680000000;373,55;1676,6;1864,8;690,8;1274,6;816,1;834;847,4;638,4;1002,2;1075,6;599,4;1092;1121;1135;1121,8;3749,6;930,3;1097,1;1176,4;868,4;476,4;1719,2;1910,2;109,2;467,8;1059,4;1468,2;967;797,03;314,425;1456,289
2803766400000;373,4;1650,6;1864,7;690,2;1273,4;815,5;833;847,1;637,6;1000,8;1075,4;599,1;1091;1120,5;1134,5;1121,7;3748,4;930,1;1096,9;1176,1;867,6;475,6;1718,8;1909,3;109,2;467,7;1059,1;1467,3;966,5;796,84;314,2;1455,412
2804025600000;373,25;1598,6;1864,6;689,6;1272,2;814,9;832;846,8;636,8;999,4;1075,2;598,8;1090;1120;1134;1121,6;3747,2;929,9;1096,7;1175,8;866,8;474,8;1718,4;1908,4;109,2;467,6;1058,8;1466,4;966;796,65;313,975;1454,535
2804112000000;373,1;1657,1;1864,5;689;1271;814,3;831;846,5;636;998;1075;598,5;1089;1119,5;1133,5;1121,5;3746;929,7;1096,5;1175,5;866;474;1718;1907,5;109,2;467,5;1058,5;1465,5;965,5;796,46;313,75;1453,658
2804198400000;372,95;1676,6;1864,4;688,4;1269,8;813,7;830;846,2;635,2;996,6;1074,8;598,2;1088;1119;1133;1121,4;3744,8;929,5;1096,3;1175,2;865,2;473,2;1717,6;1906,6;109,2;467,4;1058,2;1464,6;965;796,27;313,525;1452,781
2804284800000;372,8;1650,6;1864,3;687,8;1268,6;813,1;829;845,9;634,4;995,2;1074,6;597,9;1087;1118,5;1132,5;1121,3;3743,6;929,3;1096,1;1174,9;864,4;472,4;1717,2;1905,7;109,2;467,3;1057,9;1463,7;964,5;796,08;313,3;1451,904
2804371200000;372,65;1689,6;1864,2;687,2;1267,4;812,5;828;845,6;633,6;993,8;1074,4;597,6;1086;1118;1132;1121,2;3742,4;929,1;1095,9;1174,6;863,6;471,6;1716,8;1904,8;109,2;467,2;1057,6;1462,8;964;795,89;313,075;1451,027
2804630400000;372,5;1793,6;1864,1;686,6;1266,2;811,9;827;845,3;632,8;992,4;1074,2;597,3;1085;1117,5;1131,5;1121,1;3741,2;928,9;1095,7;1174,3;862,8;470,8;1716,4;1903,9;109,2;467,1;1057,3;1461,9;963,5;795,7;312,85;1450,15
2804716800000;372,35;1884,6;1864;686;1265;811,3;826;845;632;991;1074;597;1084;1117;1131;1121;3740;928,7;1095,5;1174;862;470;1716;1903;109,2;467;1057;1461;963;795,51;312,625;1449,273
2804803200000;372,2;1917,1;1863,9;685,4;1263,8;810,7;825;844,7;631,2;989,6;1073,8;596,7;1083;1116,5;1130,5;1120,9;3738,8;928,5;1095,3;1173,7;861,2;469,2;1715,6;1902,1;109,2;466,9;1056,7;1460,1;962,5;795,32;312,4;1448,396
2804889600000;372,05;1910,6;1863,8;684,8;1262,6;810,1;824;844,4;630,4;988,2;1073,6;596,4;1082;1116;1130;1120,8;3737,6;928,3;1095,1;1173,4;860,4;468,4;1715,2;1901,2;109,2;466,8;1056,4;1459,2;962;795,13;312,175;1447,519
2804976000000;371,9;2014,5;1863,7;684,2;1261,4;809,5;823;844,1;629,6;986,8;1073,4;596,1;1081;1115,5;1129,5;1120,7;3736,4;928,1;1094,9;1173,1;859,6;467,6;1714,8;1900,3;109,2;466,7;1056,1;1458,3;961,5;794,94;311,95;1446,642
2805235200000;371,75;1988,5;1863,6;683,6;1260,2;808,9;822;843,8;628,8;985,4;1073,2;595,8;1080;1115;1129;1120,6;3735,2;927,9;1094,7;1172,8;858,8;466,8;1714,4;1899,4;109,2;466,6;1055,8;1457,4;961;794,75;311,725;1445,765
2805321600000;371,6;1975,5;1863,5;683;1259;808,3;821;843,5;628;984;1073;595,5;1079;1114,5;1128,5;1120,5;3734;927,7;1094,5;1172,5;858;466;1714;1898,5;109,2;466,5;1055,5;1456,5;960,5;794,56;311,5;1444,888
2805408000000;371,45;1975,5;1863,4;682,4;1257,8;807,7;820;843,2;627,2;982,6;1072,8;595,2;1078;1114;1128;1120,4;3732,8;927,5;1094,3;1172,2;857,2;465,2;1713,6;1897,6;109,2;466,4;1055,2;1455,6;960;794,37;311,275;1444,011
2805494400000;371,3;1949,6;1863,3;681,8;1256,6;807,1;819;842,9;626,4;981,2;1072,6;594,9;1077;1113,5;1127,5;1120,3;3731,6;927,3;1094,1;1171,9;856,4;464,4;1713,2;1896,7;109,2;466,3;1054,9;1454,7;959,5;794,18;311,05;1443,134
2805580800000;371,15;1904,1;1863,2;681,2;1255,4;806,5;818;842,6;625,6;979,8;1072,4;594,6;1076;1113;1127;1120,2;3730,4;927,1;1093,9;1171,6;855,6;463,6;1712,8;1895,8;109,2;466,2;1054,6;1453,8;959;793,99;310,825;1442,257
2805840000000;371;1858,6;1863,1;680,6;1254,2;805,9;817;842,3;624,8;978,4;1072,2;594,3;1075;1112,5;1126,5;1120,1;3729,2;926,9;1093,7;1171,3;854,8;462,8;1712,4;1894,9;109,2;466,1;1054,3;1452,9;958,5;793,8;310,6;1441,38
2805926400000;370,85;1884,6;1863;680;1253;805,3;816;842;624;977;1072;594;1074;1112;1126;1120;3728;926,7;1093,5;1171;854;462;1712;1894;109,2;466;1054;1452;958;793,61;310,375;1440,503
2806012800000;370,7;1904,1;1862,9;679,4;1251,8;804,7;815;841,7;623,2;975,6;1071,8;593,7;1073;1111,5;1125,5;1119,9;3726,8;926,5;1093,3;1170,7;853,2;461,2;1711,6;1893,1;109,2;465,9;1053,7;1451,1;957,5;793,42;310,15;1439,626
2806099200000;370,55;1865,1;1862,8;678,8;1250,6;804,1;814;841,4;622,4;974,2;1071,6;593,4;1072;1111;1125;1119,8;3725,6;926,3;1093,1;1170,4;852,4;460,4;1711,2;1892,2;109,2;465,8;1053,4;1450,2;957;793,23;309,925;1438,749
2806185600000;370,4;1852,1;1862,7;678,2;1249,4;803,5;813;841,1;621,6;972,8;1071,4;593,1;1071;1110,5;1124,5;1119,7;3724,4;926,1;1092,9;1170,1;851,6;459,6;1710,8;1891,3;109,2;465,7;1053,1;1449,3;956,5;793,04;309,7;1437,872
2806444800000;370,25;1839,1;1862,6;677,6;1248,2;802,9;812;840,8;620,8;971,4;1071,2;592,8;1070;1110;1124;1119,6;3723,2;925,9;1092,7;1169,8;850,8;458,8;1710,4;1890,4;109,2;465,6;1052,8;1448,4;956;792,85;309,475;1436,995
2806531200000;370,1;1832,6;1862,5;677;1247;802,3;811;840,5;620;970;1071;592,5;1069;1109,5;1123,5;1119,5;3722;925,7;1092,5;1169,5;850;458;1710;1889,5;109,2;465,5;1052,5;1447,5;955,5;792,66;309,25;1436,118
2806617600000;369,95;1878,1;1862,4;676,4;1245,8;801,7;810;840,2;619,2;968,6;1070,8;592,2;1068;1109;1123;1119,4;3720,8;925,5;1092,3;1169,2;849,2;457,2;1709,6;1888,6;109,2;465,4;1052,2;1446,6;955;792,47;309,025;1435,241
2806704000000;369,8;1884,6;1862,3;675,8;1244,6;801,1;809;839,9;618,4;967,2;1070,6;591,9;1067;1108,5;1122,5;1119,3;3719,6;925,3;1092,1;1168,9;848,4;456,4;1709,2;1887,7;109,2;465,3;1051,9;1445,7;954,5;792,28;308,8;1434,364
2806790400000;369,65;1865,1;1862,2;675,2;1243,4;800,5;808;839,6;617,6;965,8;1070,4;591,6;1066;1108;1122;1119,2;3718,4;925,1;1091,9;1168,6;847,6;455,6;1708,8;1886,8;109,2;465,2;1051,6;1444,8;954;792,09;308,575;1433,487
2807049600000;369,5;1878,1;1862,1;674,6;1242,2;799,9;807;839,3;616,8;964,4;1070,2;591,3;1065;1107,5;1121,5;1119,1;3717,2;924,9;1091,7;1168,3;846,8;454,8;1708,4;1885,9;109,2;465,1;1051,3;1443,9;953,5;791,9;308,35;1432,61
2807136000000;369,35;1878,1;1862;674;1241;799,3;806;839;616;963;1070;591;1064;1107;1121;1119;3716;924,7;1091,5;1168;846;454;1708;1885;109,2;465;1051;1443;953;791,71;308,125;1431,733
2807222400000;369,2;1871,6;1861,9;673,4;1239,8;798,7;805;838,7;615,2;961,6;1069,8;590,7;1063;1106,5;1120,5;1118,9;3714,8;924,5;1091,3;1167,7;845,2;453,2;1707,6;1884,1;109,2;464,9;1050,7;1442,1;952,5;791,52;307,9;1430,856
2807308800000;369,05;1884,6;1861,8;672,8;1238,6;798,1;804;838,4;614,4;960,2;1069,6;590,4;1062;1106;1120;1118,8;3713,6;924,3;1091,1;1167,4;844,4;452,4;1707,2;1883,2;109,2;464,8;1050,4;1441,2;952;791,33;307,675;1429,979
2807395200000;368,9;1910,6;1861,7;672,2;1237,4;797,5;803;838,1;613,6;958,8;1069,4;590,1;1061;1105,5;1119,5;1118,7;3712,4;924,1;1090,9;1167,1;843,6;451,6;1706,8;1882,3;109,2;464,7;1050,1;1440,3;951,5;791,14;307,45;1429,102
2807654400000;368,75;1923,6;1861,6;671,6;1236,2;796,9;802;837,8;612,8;957,4;1069,2;589,8;1060;1105;1119;1118,6;3711,2;923,9;1090,7;1166,8;842,8;450,8;1706,4;1881,4;109,2;464,6;1049,8;1439,4;951;790,95;307,225;1428,225
2807740800000;368,6;1930,1;1861,5;671;1235;796,3;801;837,5;612;956;1069;589,5;1059;1104,5;1118,5;1118,5;3710;923,7;1090,5;1166,5;842;450;1706;1880,5;109,2;464,5;1049,5;1438,5;950,5;790,76;307;1427,348
2807827200000;368,45;1884,6;1861,4;670,4;1233,8;795,7;800;837,2;611,2;954,6;1068,8;589,2;1058;1104;1118;1118,4;3708,8;923,5;1090,3;1166,2;841,2;449,2;1705,6;1879,6;109,2;464,4;1049,2;1437,6;950;790,57;306,775;1426,471
2807913600000;368,3;1904,1;1861,3;669,8;1232,6;795,1;799;836,9;610,4;953,2;1068,6;588,9;1057;1103,5;1117,5;1118,3;3707,6;923,3;1090,1;1165,9;840,4;448,4;1705,2;1878,7;109,2;464,3;1048,9;1436,7;949,5;790,38;306,55;1425,594
2808000000000;368,15;1897,6;1861,2;669,2;1231,4;794,5;798;836,6;609,6;951,8;1068,4;588,6;1056;1103;1117;1118,2;3706,4;923,1;1089,9;1165,6;839,6;447,6;1704,8;1877,8;109,2;464,2;1048,6;1435,8;949;790,19;306,325;1424,717
2808259200000;368;1897,6;1861,1;668,6;1230,2;793,9;797;836,3;608,8;950,4;1068,2;588,3;1055;1102,5;1116,5;1118,1;3705,2;922,9;1089,7;1165,3;838,8;446,8;1704,4;1876,9;109,2;464,1;1048,3;1434,9;948,5;790;306,1;1423,84
2808345600000;367,85;1910,6;1861;668;1229;793,3;796;836;608;949;1068;588;1054;1102;1116;1118;3704;922,7;1089,5;1165;838;446;1704;1876;109,2;464;1048;1434;948;789,81;305,875;1422,963
2808432000000;367,7;1949,6;1860,9;667,4;1227,8;792,7;795;835,7;607,2;947,6;1067,8;587,7;1053;1101,5;1115,5;1117,9;3702,8;922,5;1089,3;1164,7;837,2;445,2;1703,6;1875,1;109,2;463,9;1047,7;1433,1;947,5;789,62;305,65;1422,086
2808518400000;367,55;1949,6;1860,8;666,8;1226,6;792,1;794;835,4;606,4;946,2;1067,6;587,4;1052;1101;1115;1117,8;3701,6;922,3;1089,1;1164,4;836,4;444,4;1703,2;1874,2;109,2;463,8;1047,4;1432,2;947;789,43;305,425;1421,209
2808604800000;367,4;1949,6;1860,7;666,2;1225,4;791,5;793;835,1;605,6;944,8;1067,4;587,1;1051;1100,5;1114,5;1117,7;3700,4;922,1;1088,9;1164,1;835,6;443,6;1702,8;1873,3;109,2;463,7;1047,1;1431,3;946,5;789,24;305,2;1420,332
2808864000000;367,25;1949,6;1860,6;665,6;1224,2;790,9;792;834,8;604,8;943,4;1067,2;586,8;1050;1100;1114;1117,6;3699,2;921,9;1088,7;1163,8;834,8;442,8;1702,4;1872,4;109,2;463,6;1046,8;1430,4;946;789,05;304,975;1419,455
2808950400000;367,1;1949,6;1860,5;665;1223;790,3;791;834,5;604;942;1067;586,5;1049;1099,5;1113,5;1117,5;3698;921,7;1088,5;1163,5;834;442;1702;1871,5;109,2;463,5;1046,5;1429,5;945,5;788,86;304,75;1418,578
2809036800000;366,95;1923,6;1860,4;664,4;1221,8;789,7;790;834,2;603,2;940,6;1066,8;586,2;1048;1099;1113;1117,4;3696,8;921,5;1088,3;1163,2;833,2;441,2;1701,6;1870,6;109,2;463,4;1046,2;1428,6;945;788,67;304,525;1417,701
2809123200000;366,8;1917,1;1860,3;663,8;1220,6;789,1;789;833,9;602,4;939,2;1066,6;585,9;1047;1098,5;1112,5;1117,3;3695,6;921,3;1088,1;1162,9;832,4;440,4;1701,2;1869,7;109,2;463,3;1045,9;1427,7;944,5;788,48;304,3;1416,824
2809209600000;366,65;1891,1;1860,2;663,2;1219,4;788,5;788;833,6;601,6;937,8;1066,4;585,6;1046;1098;1112;1117,2;3694,4;921,1;1087,9;1162,6;831,6;439,6;1700,8;1868,8;109,2;463,2;1045,6;1426,8;944;788,29;304,075;1415,947
2809468800000;366,5;1936,6;1860,1;662,6;1218,2;787,9;787;833,3;600,8;936,4;1066,2;585,3;1045;1097,5;1111,5;1117,1;3693,2;920,9;1087,7;1162,3;830,8;438,8;1700,4;1867,9;109,2;463,1;1045,3;1425,9;943,5;788,1;303,85;1415,07
2809555200000;366,35;1923,6;1860;662;1217;787,3;786;833;600;935;1066;585;1044;1097;1111;1117;3692;920,7;1087,5;1162;830;438;1700;1867;109,2;463;1045;1425;943;787,91;303,625;1414,193
2809641600000;366,2;1923,6;1859,9;661,4;1215,8;786,7;785;832,7;599,2;933,6;1065,8;584,7;1043;1096,5;1110,5;1116,9;3690,8;920,5;1087,3;1161,7;829,2;437,2;1699,6;1866,1;109,2;462,9;1044,7;1424,1;942,5;787,72;303,4;1413,316
2809728000000;366,05;1923,6;1859,8;660,8;1214,6;786,1;784;832,4;598,4;932,2;1065,6;584,4;1042;1096;1110;1116,8;3689,6;920,3;1087,1;1161,4;828,4;436,4;1699,2;1865,2;109,2;462,8;1044,4;1423,2;942;787,53;303,175;1412,439
2809814400000;365,9;1910,6;1859,7;660,2;1213,4;785,5;783;832,1;597,6;930,8;1065,4;584,1;1041;1095,5;1109,5;1116,7;3688,4;920,1;1086,9;1161,1;827,6;435,6;1698,8;1864,3;109,2;462,7;1044,1;1422,3;941,5;787,34;302,95;1411,562
